HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text,Answer.sentiment.label,Approve,Reject
336OE47KI1JNXGGEVMXY8P4NU9MVWF,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,30BXRYBRP4WK2ZJOGZLWI880CIRHW7,AKMURQ1WQN9CX,Submitted,Tue Feb 25 16:08:03 PST 2020,Tue Feb 25 16:08:20 PST 2020,Thu Feb 27 16:08:20 PST 2020,,,,17,0% (0/0),0% (0/0),0% (0/0),Pigeons with tiny Make American Great Again hats glued to their heads were released in downtown Las Vegas this week in what appears to be a sarcastic statement of loyalty to Trump and protest of Nevadas upcoming Democratic presidential caucus  A group calling itself PUTIN Pigeons United To Interfere Now claimed responsibility for the stunt The pigeons were set loose on Tuesday according to the group,Liberal,,
336OE47KI1JNXGGEVMXY8P4NU9MVWF,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,37U1UTWH9VLM1S19E1HKIW7KHKN8RH,A317G7X02QTEM0,Submitted,Tue Feb 25 16:18:33 PST 2020,Tue Feb 25 16:18:36 PST 2020,Thu Feb 27 16:18:36 PST 2020,,,,3,0% (0/0),0% (0/0),0% (0/0),Pigeons with tiny Make American Great Again hats glued to their heads were released in downtown Las Vegas this week in what appears to be a sarcastic statement of loyalty to Trump and protest of Nevadas upcoming Democratic presidential caucus  A group calling itself PUTIN Pigeons United To Interfere Now claimed responsibility for the stunt The pigeons were set loose on Tuesday according to the group,Conservative,,
336OE47KI1JNXGGEVMXY8P4NU9MVWF,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3JWH6J9I9SCKOS7OO6KD0ESBOTINB6,A3I7NI55YX118B,Submitted,Tue Feb 25 16:07:50 PST 2020,Tue Feb 25 16:08:26 PST 2020,Thu Feb 27 16:08:26 PST 2020,,,,36,0% (0/0),0% (0/0),0% (0/0),Pigeons with tiny Make American Great Again hats glued to their heads were released in downtown Las Vegas this week in what appears to be a sarcastic statement of loyalty to Trump and protest of Nevadas upcoming Democratic presidential caucus  A group calling itself PUTIN Pigeons United To Interfere Now claimed responsibility for the stunt The pigeons were set loose on Tuesday according to the group,Neutral,,
336OE47KI1JNXGGEVMXY8P4NU9MVWF,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3L4PIM1GQTF1GYSRR5FEH9VMAZQRYE,A3JLE2LJ5I17E2,Submitted,Tue Feb 25 16:21:31 PST 2020,Tue Feb 25 16:21:35 PST 2020,Thu Feb 27 16:21:35 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),Pigeons with tiny Make American Great Again hats glued to their heads were released in downtown Las Vegas this week in what appears to be a sarcastic statement of loyalty to Trump and protest of Nevadas upcoming Democratic presidential caucus  A group calling itself PUTIN Pigeons United To Interfere Now claimed responsibility for the stunt The pigeons were set loose on Tuesday according to the group,Liberal,,
336OE47KI1JNXGGEVMXY8P4NU9MVWF,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3OF2M9AATGNFYKP1X780U4IAL1ZKZ4,ABL3H3O3BI8ZD,Submitted,Tue Feb 25 16:08:21 PST 2020,Tue Feb 25 16:08:25 PST 2020,Thu Feb 27 16:08:25 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),Pigeons with tiny Make American Great Again hats glued to their heads were released in downtown Las Vegas this week in what appears to be a sarcastic statement of loyalty to Trump and protest of Nevadas upcoming Democratic presidential caucus  A group calling itself PUTIN Pigeons United To Interfere Now claimed responsibility for the stunt The pigeons were set loose on Tuesday according to the group,Neutral,,
3AFT28WXLE1A61NC5T75C617J5ROIZ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,33OOO72IVHK1TA4EZ22KKX4LVW4CT3,A1WAWEY2810TFN,Submitted,Tue Feb 25 16:06:46 PST 2020,Tue Feb 25 16:06:52 PST 2020,Thu Feb 27 16:06:52 PST 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),Police are searching for a suspect after a shooting Wednesday that left one person dead and three injured in Ottawa,Neutral,,
3AFT28WXLE1A61NC5T75C617J5ROIZ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3DI28L7YXADFHOCJTAO54FLTOPPE1O,ACKOH9YZA7YK4,Submitted,Tue Feb 25 16:00:40 PST 2020,Tue Feb 25 16:01:20 PST 2020,Thu Feb 27 16:01:20 PST 2020,,,,40,0% (0/0),0% (0/0),0% (0/0),Police are searching for a suspect after a shooting Wednesday that left one person dead and three injured in Ottawa,Liberal,,
3AFT28WXLE1A61NC5T75C617J5ROIZ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3OXV7EAXLEP7ECXJAWJQGK8D5BG36L,A2I5WWSM7AQRA5,Submitted,Tue Feb 25 16:08:31 PST 2020,Tue Feb 25 16:08:38 PST 2020,Thu Feb 27 16:08:38 PST 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),Police are searching for a suspect after a shooting Wednesday that left one person dead and three injured in Ottawa,Neutral,,
3AFT28WXLE1A61NC5T75C617J5ROIZ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3PM8NZGV8YFC4SNH9U4CT5E8C7SQX4,A2Y5ZQV27N0D0Z,Submitted,Tue Feb 25 16:01:55 PST 2020,Tue Feb 25 16:02:06 PST 2020,Thu Feb 27 16:02:06 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),Police are searching for a suspect after a shooting Wednesday that left one person dead and three injured in Ottawa,Neutral,,
3AFT28WXLE1A61NC5T75C617J5ROIZ,37D36GBQBZSIOWDLQHHCRC1U1Y4ZRD,Sentiment Analysis,News Stories and Headlines to determine Sentiment,"sentiment, text",$0.01 ,Tue Feb 25 15:56:28 PST 2020,5,BatchId:3933879;OriginalHitTemplateId:928390909;,7200,172800,Thu Feb 27 15:56:28 PST 2020,,,3UN61F00HWO3EAI7G3AH6CXTFUKR5W,ABL3H3O3BI8ZD,Submitted,Tue Feb 25 16:02:11 PST 2020,Tue Feb 25 16:02:14 PST 2020,Thu Feb 27 16:02:14 PST 2020,,,,3,0% (0/0),0% (0/0),0% (0/0),Police are searching for a suspect after a shooting Wednesday that left one person dead and three injured in Ottawa,Conservative,,
