source,headline
CNN,Trump tweets 'threat' to Iran over protests at Baghdad embassy - CNN Video
CNN,EPA science board criticizes Trump administration's environmental proposals
CNN,Watch protesters use battering ram on US embassy - CNN Video
CNN,US sending additional forces to protect embassy threatened by protesters in Iraq
CNN,Protesters attack US embassy in Baghdad after airstrikes
CNN,Projection shows Florida and North Carolina among states that could gain congressional seats after Census
CNN,Trump signs robo-call bill into law
CNN,Biden would nominate Obama to Supreme Court 'if he'd take it'
CNN,A proxy war between the US and Iran just moved a step closer
CNN,Trump's airstrikes are a sensible use of force
CNN,"In 1988, a US Navy warship shot down an Iranian passenger plane"
CNN,Impeachment impasse shows Pelosi's power
CNN,US-Iran: Latest updates on the plane crash and ongoing conflict - CNN
CNN,Preet Bharara to Georgia congressman: You've hit a shocking new low
CNN,Chris Cuomo: How could Iran have made this fatal mistake with Ukrainian Flight 752? - CNN Video
CNN,Video appears to show Ukrainian airliner being hit - CNN Video
CNN,Newlyweds died together in the plane crash in Iran a week after their wedding
CNN,In photos: Ukrainian plane crashes in Iran
CNN,Trudeau says Canada has intelligence Iran shot down Ukrainian airliner
CNN,US-Iran news: The latest on the crisis - CNN
CNN,CNN reporter presses Pompeo to define 'imminent' - CNN Video
CNN,US imposes sanctions on Iranian steel and other metals
CNN,"Trump furious over House war powers vote, sources say - CNN Video"
CNN,How 'Lock Her Up!' just blew up
CNN,Iran's UN ambassador says missile strikes weren't intended to kill Americans
CNN,Video appears to show missile strike as Canada and UK say they have intel Iran shot down Ukrainian plane
CNN,Iranian official says reports that missiles downed Ukrainian plane 'a big lie'
CNN,US-Iran: Latest updates on the Ukrainian plane crash and ongoing conflict - CNN
CNN,College staffer out of a job over post suggesting Iran list Mall of America and Kardashian home as targets
CNN,Aviation expert breaks down what happens in shocking video  - CNN Video
CNN,"Boeing's biggest supplier lays off 2,800 workers because of 737 Max production suspension"
CNN,US unsuccessfully targeted another Iranian military official on same day as Soleimani
CNN,Trump had a busy week even aside from Iran and impeachment. Here's what you missed.
CNN,How Americans and Iranians are using memes and hashtags to cope with conflict
CNN,US-Iran news: Live updates on the Ukraine plane crash and conflict  - CNN
CNN,Millions of Americans brace for crippling ice and dangerous tornadoes
CNN,North Korea says US 'deceived' Pyongyang on nuclear talks after Trump sends Kim birthday letter
CNN,Iran says Ukrainian passenger plane was shot down unintentionally in fear of US aggression
CNN,New video shows moment airliner crashes in Iran  - CNN Video
CNN,Victims of Iran plane crash hailed from around the world
CNN,First on CNN: Russian warship 'aggressively approached' US destroyer in Arabian Sea
CNN,See the destruction at Iraqi air base targeted by Iran - CNN Video
CNN,Why America needs to hear from its government
CNN,"Erin Burnett: When it comes to Trump, accuracy does not matter - CNN Video"
CNN,Another earthquake hits Puerto Rico
CNN,"Millions of Americans brace for flooding, strong winds and crippling ice"
CNN,Why Trump's changing Iran story is costing him support in Congress
CNN,2 US service members killed in Afghanistan
CNN,Washington Post: Trump angry with ally Matt Gaetz for urging Republicans to vote for Iran war powers resolution
CNN,These Republicans voted yes on the War Powers resolution
CNN,Iranian protesters take to streets after Tehran admits Ukrainian plane was shot down unintentionally in fear of US aggression
CNN,"US troops knew Al-Asad air base would be attacked and sheltered in bunkers, exclusive tour reveals"
CNN,Trump administration's shifting stories fuel doubts over justification for Soleimani strike
CNN,Multi-day severe weather system slams Central and Eastern US - CNN Video
CNN,MIllions in eastern half of US brace for crippling ice and dangerous tornadoes  - CNN Video
CNN,"Storms kill at least 8, with tornadoes, flooding and crippling ice still in the forecast for eastern US"
CNN,The royal family will hold a summit Monday to discuss Prince Harry and Meghan
CNN,Justin Trudeau toughens his stand on the world stage as he demands justice over plane downed by Iran
CNN,weather forecast: US storms bring power outages and tornados to east coast - CNN
CNN,4 tornado safety tips that could save your life
CNN,The US-Iran conflict: A timeline of how we got here
CNN,Trump administration officials have contradicted each other on Soleimani again and again. This is the result.
CNN,Illinois cannabis sales bring in $3.2 million on day one
CNN,Former HBO chief Richard Plepler signs production deal with Apple
CNN,Uyghur gravesites in China wiped off the map - CNN Video
CNN,Rudy Giuliani: 'I would testify' in Senate impeachment trial - CNN Video
CNN,All eyes on McConnell as Senate returns Friday
CNN,"White House budget official told Pentagon that order to hold Ukraine aid came from Trump, national security site reports"
CNN,Hanukkah stabbing victim's family releases photo to show brutality of anti-Semitic attack
CNN,Bill Taylor departs post as top US diplomat in Ukraine
CNN,Ranking the 5 Democrats with the best chance of winning in 2020
CNN,The Trump cover-up is unfolding before our eyes
CNN,Jake Tapper: This email flies in the face of Trump's defenders - CNN Video
CNN,Marianne Williamson lays off campaign staff nationally
CNN,"Ethan Couch, who killed four people in 'affluenza' case, arrested again in Texas"
CNN,A Texas judge says hospital can remove 11-month-old Tinslee Lewis off life support despite her family's wishes
CNN,Trump tweets false claim about homelessness in California - CNN Video
CNN,"Trump warns Iran if it hits any Americans or American assets 'we have targeted 52 Iranian sites"""
