source,headline
Fox News,MSNBC's Joy Reid deletes tweet falsely suggesting Pompeo spoke to Russia's RT
Fox News,"Kinzinger: Iran is acting as predicted, trying to get a response"
Fox News,Alex Trebek admits to feeling bouts of depression amid cancer battle
Fox News,Seattle public schools to exclude unvaccinated students after winter break
Fox News,Trump threatens Iran after attack on embassy compound: â€˜They will pay a very BIG PRICE!â€™
Fox News,"Connecticut driver livestreamed himself going 102 mph and crashing, police say"
Fox News,"Texas church shooting gunman grew angry in past over money requests, visited 'multiple' times, minister says"
Fox News,CA mayor on exodus from blue states: 'I can't blame them'
Fox News,YouTube takes steps to protect young users; Red Lobster debuts limited-edition cocktail
Fox News,New Year&#39;s Eve celebrations from around the world
Fox News,Oprah Winfrey advised Prince Harry and Meghan Markle on Megxit
Fox News,"Iran reportedly invites Boeing to help investigate crash, blames US for 'psychological operation'"
Fox News,Mark Levin: 'Appalling' to watch lawmakers invoke 'unconstitutional' War Powers Act against Trump
Fox News,"Feds used FISA, possible stingray to spy on Giuliani-connected businessman, filing says"
Fox News,Hannity's message to Republican senators on impeachment
Fox News,Mother of teenager murdered by an illegal immigrant accuses California of protecting her daughter's killer
Fox News,Rep. Matt Gaetz explains why he voted for War Powers Resolution
Fox News,"Trump headlines Ohio rally flush with cash, declaring victory in Iran standoff"
Fox News,Former DHS secretary Jeh Johnson says Trump had ample constitutional authority to take out Soleimani
Fox News,President Trump defends killing of Iranian general: We caught a total monster and took him out
Fox News,'Modern Family' star Julie Bowen says she needs to keep working because of recent divorce
Fox News,Taco Bell offering big bucks to attract top talent; Goop ready to hit the high seas
Fox News,Dan Hoffman: Bet our enemies are closely tracking impeachment
Fox News,"Associated Press changes â€˜shockingly badâ€™ headline about Soleimani, Ukrainian plane crash after backlash"
Fox News,Pelosi: House will move to transmit impeachment articles next week
Fox News,Chris Wallace: Can new sanctions break Iran's will?
Fox News,"Karl Rove: Bloomberg, Steyer could be force at convention"
Fox News,The Subaru Forester F*#@S edition is an NSFW SUV
Fox News,Many senators head home for weekend as McConnell awaits impeachment articles
Fox News,"AOC riles Dems by refusing to pay party dues, bankrolling colleagues' opponents"
Fox News,Buying political influence bigger than Clinton Foundation: Chaffetz
Fox News,17-year-old NASA intern makes stunning discovery
Fox News,Trump tells Fox News' Laura Ingraham 'four embassies' were targeted in imminent threat from Iran
Fox News,Dems rush to implicate Trump for plane crash linked to Iran missile strike
Fox News,Stirewalt: Warren's 'thirst for need' reminds me of Hillary
Fox News,Mike Rowe reacts to op-ed calling on him to run for governor of California: 'It's flattering'
Fox News,"Outnumbered: Trump restored escalation dominance, Congress answered with a 'duck & dive'"
Fox News,Sec. Pompeo: New sanctions strike at heart of Iran's 'brute squad'
Fox News,"Russian spy ship 'aggressively approached' US destroyer in North Arabian Sea, Navy says"
Fox News,Tammy Bruce: Chelsea Clinton is worth big bucks -- Here's how she managed to make all that money
Fox News,Omar responds after Texas uses Trump executive order to opt out of refugee program
Fox News,â€˜Remember the Titansâ€™ star Ethan Suplee shocks fans with massive weight loss transformation
Fox News,Ex-Navy SEAL Jack Carr: Trump got Iran to stand down because of THIS
