source,Headline
ABC News,Illinois governor clears thousands of marijuana convictions
ABC News,"Former FBI agent Peter Strzok claims government violated his privacy, free speech rights"
ABC News,Kansas officer resigned over alleged bogus complaint against McDonald's workers
ABC News,Facebook's latest takedown has a twist -- AI-generated profile pictures
ABC News,16-year-old rock climber survives 500-foot fall on Oregon's Mount Hood
ABC News,Governor fires 34 prison guard trainees who gave Nazi salute
ABC News,Trump signs bill to help eliminate backlog in rape kit testing
ABC News,Heterosexual couples form 1st civil partnerships in England
ABC News,"Storm moving out in east, new storm to move across U.S. to start new year"
ABC News,Minimum wage to increase in more than 20 states in 2020
ABC News,"Teacher charged after video shows him lifting teen, carrying him out of classroom"
ABC News,Jailers failed to preserve security video linked to Jeffrey Epstein's 1st suicide attempt: Officials
ABC News,Election security officials brace for possible Iran cyber retaliation
ABC News,Fotis Dulos released on bond in Jennifer Dulos murder case
ABC News,Bloomberg wonâ€™t release women who sued him from secrecy agreements
ABC News,1st America the Beautiful quarters of 2020 features a fruit bat mother and her pup
ABC News,8 million student loan borrowers must do this in 2020
ABC News,Teen grateful to be alive after 30 hours in Utah mountains
ABC News,Missing journalist's body found in Mexico's Michoacan state
ABC News,"Missing 3-year-old's father is wanted for murder in death of boy's mother, police say"
ABC News,Marianne Williamson announces she is suspending her presidential campaign
ABC News,Bank robber dubbed 'Bad Wig Bandit' sought in Charlotte
ABC News,Tens of thousands protest Australia's government amid wildfires
ABC News,"The Dow Jones reaches 29,000 for the 1st time in history"
ABC News,"Pompeo, Mnuchin detail new sanctions on top Iranian officials"
ABC News,Man accused of kidnapping ex-girlfriend could get life term
ABC News,Mother of 5 found beaten to death in Philadelphia home
ABC News,Stakes high as US Supreme Court weighs 'Bridgegate' case
ABC News,S Korea conveys Trump's birthday message to Kim Jung Un
ABC News,'Incredibly damning' Boeing documents reveal 737 Max concerns
ABC News,"Pompeo disputes Iraqi prime minister, says US won't negotiate troop withdrawal"
ABC News,2 charged in videotaped kicking of wounded whitetail deer
ABC News,US further restricts air travel to Cuba to increase pressure: State Dept.
ABC News,Warrant: Mom left infant who drowned in tub for 'me time'
ABC News,Georgia Jane Doe murder victim identified by DNA almost 40 years after killing
ABC News,"Fire engulfs nursing home in Croatia, at least 6 dead"
ABC News,NATO: US army vehicle hit by roadside bomb in Afghanistan
ABC News,Refugees shot dead in Tripoli forced out of UN facility
ABC News,Bus catches fire in road accident in India; at least 20 dead
ABC News,Uber driver charged with sexually assaulting passenger
ABC News,CNN agrees to record $76M settlement over labor dispute
ABC News,FAA seeks $3.9 million fine against Southwest Airlines
ABC News,"College student diagnosed with measles visited restaurants, retail stores, airport"
ABC News,Michigan town 'stinks;' Council buys marijuana odor device
ABC News,Las Vegas firefighters discover illegal gas station at home
ABC News,2 US service members killed by IED explosion in Afghanistan
ABC News,6.0 magnitude earthquake rocks Puerto Rico
ABC News,Trump administration to effectively ban most flavored vaping cartridges but not menthol
ABC News,Woman accused of using Muslim student's hijab to attack her
