source,headline
The Hill,Kim says world will soon witness 'new strategic weapon' | TheHill
The Hill,"Trump threatens Iran over embassy incident, which he calls the anti-Benghazi | TheHill"
The Hill,Sanders: Speed of Medicare for All plan is a 'major difference' with Warren | TheHill
The Hill,EPA's independent science board questions underpinnings of numerous agency rollbacks | TheHill
The Hill,US faces new crisis in Iraq | TheHill
The Hill,Trump calls Pelosi the 'most overrated person I know' | TheHill
The Hill,Lewandowski decides against Senate bid | TheHill
The Hill,"Pompeo speaks with Iraq's prime minister, president after protesters breach US Embassy in Baghdad | TheHill"
The Hill,Trump says he will sign phase one China deal at White House event in January | TheHill
The Hill,Trump lashes out at Iran for 'orchestrating attack' on US Embassy in Iraq | TheHill
The Hill,Trump seeks to make case for strike on Iranian general in address to Ohio supporters | TheHill
The Hill,The lawmakers that bucked their parties on the war powers resolution | TheHill
The Hill,House passes measure seeking to limit Trump on Iran | TheHill
The Hill,McConnell tells GOP senators to expect impeachment trial next week | TheHill
The Hill,McCarthy accuses Pelosi of 'lying to the American public' about strength of war powers resolution | TheHill
The Hill,Trump signals White House would try to restrict Bolton testimony | TheHill
The Hill,Trump on downed Ukrainian plane: 'Somebody could've made a mistake' | TheHill
The Hill,Pelosi says she'll send articles of impeachment to Senate 'soon' | TheHill
The Hill,White House aims to roll back bedrock environmental law to speed development | TheHill
The Hill,"Poll: Buttigieg, Sanders surge sets up 4-way tie in New Hampshire | TheHill"
The Hill,Marianne Williamson drops out of 2020 race | TheHill
The Hill,Collins apologizes for saying Democrats love terrorists | TheHill
The Hill,Pompeo defends intelligence behind Soleimani strike amid press grilling | TheHill
The Hill,Pelosi set to send impeachment articles to the Senate next week | TheHill
The Hill,Trump administration announces new sanctions on Iran | TheHill
The Hill,"Economy adds 145K jobs in December, meeting expectations | TheHill"
The Hill,Democrats brace for round two of impeachment witness fight | TheHill
The Hill,"Graham, Paul rift deepens over Trump's war powers | TheHill"
The Hill,Democrats don't expect to do 2020 budget | TheHill
The Hill,Drug price outrage threatens to be liability for GOP | TheHill
The Hill,Trump says Soleimani was plotting attacks on four US embassies | TheHill
The Hill,Dem senators say Iran threat to embassies not mentioned in intelligence briefing | TheHill
The Hill,Collins says she's working with other GOP senators to allow impeachment witnesses | TheHill
The Hill,Trump campaign steps up attacks on Sanders | TheHill
The Hill,Iran says it 'unintentionally' shot down Ukrainian plane | TheHill
The Hill,Poll: Sanders takes lead in Iowa less than a month before caucuses | TheHill
The Hill,Impeachment trial weighs on 2020 Democrats | TheHill
The Hill,"Ukraine, Canada demand accountability after Iran admits to shooting down jet | TheHill"
The Hill,"Celebrities rally to Australian fires, decrying climate change | TheHill"
The Hill,Trump assails 'impeachment hoax' in Saturday morning tweets | TheHill
The Hill,Democrats conflicted over how to limit Trump's war powers | TheHill
The Hill,"Job numbers, stocks boost Trump in election year | TheHill"
The Hill,Democrats expand ground game to woo Latinos in Nevada | TheHill
The Hill,Trump tweets message of support to Iranian protesters in Farsi: 'Your courage is inspiring' | TheHill
The Hill,Protests erupt in Iran after country admits to downing Ukraine plane | TheHill
The Hill,Insurgents win in 2020 fundraising race | TheHill
The Hill,GOP senator plans to seek dismissal of impeachment articles | TheHill
The Hill,More than 200 lawmakers urge Supreme Court to 'reconsider' Roe v. Wade | TheHill
The Hill,Biden rakes in $22.7 million in fourth quarter of 2019 | TheHill
