source,headline
Huffington Post,"Roger Stone Sentenced To 40 Months For Lying To Congress, Witness Tampering The longtime ally of President Donald Trump was convicted of lying to Congress and witness tampering."
Huffington Post,"Finally, The Real Elizabeth Warren Steps Up The gloves came off at the Democratic primary debate in Vegas."
Huffington Post,Bloomberg Says Women ‘Get Paid Exactly The Same As Men’ At His Company. They Don’t.  he company that made Michael Bloomberg his billions has told government watchdogs it hires fewer women and pays them less than men.
Huffington Post,9 Killed In Suspected ‘Xenophobic’ Shootings In Germany The suspect and his mother were also found dead at home after the shootings at two hookah bars in the western German city of Hanau.
Huffington Post,"Corporations Are Waking Up To The Climate Crisis, But It’s Not Enough"
Huffington Post,Susan Fowler Perfectly Illustrates Why You Shouldn’t Silence Women The Uber whistleblower’s new book offers powerful evidence of what happens when a woman can speak openly about sexual harassment.
Huffington Post,"The 2020 Democratic Debate In Nevada Was The Most Watched In History NBC’s feisty debate in Las Vegas averaged more than 19.6 million television viewers and 13.5 million live streams, according to the network."
Huffington Post,"Michael Bloomberg Said NDAs Are ‘For Everybody’s Interests.’ He’s Dead Wrong. In a disastrous exchange during his Democratic debate debut, the former New York City mayor defended his use of nondisclosure agreements."
Huffington Post,‘Media Malpractice:’ Las Vegas Mass Shooting Largely Ignored During Democratic Debate Moderators didn’t ask a single question about guns during a debate in the city where 58 people were killed in the deadliest mass shooting in U.S. history.
Huffington Post,"This Is What Life Is Really Like When You Weigh Over 400 Pounds “I’ve spent almost three decades hearing I am a ticking time bomb and that I’d be dead by 30 and I am deeply, profoundly tired of it.”"
The Huffington Post,Trump Pushes Media To Unmask Whistleblower: 'You Know Who It Is'
The Huffington Post,Trump Refuses To Guarantee No Shutdown Over Impeachment: 'We'll See'
The Huffington Post,Missing New Hampshire Couple Found Buried On Texas Beach
The Huffington Post,Trump Dismisses Support For Impeachment: 'I Have The Real Polls'
The Huffington Post,Kellyanne Conway: 'I Don't Know' Whether There Was A Quid Pro Quo With Ukraine
The Huffington Post,Kenya's Geoffrey Kamworor Wins 2nd NYC Marathon Title In 3 Years
The Huffington Post,Mick Mulvaney's Top Aide Refuses To Testify In Impeachment Inquiry
The Huffington Post,"For Elizabeth Warren, The Wealth Tax Is About More Than Money"
