source,headline
Independent,Boris Johnson accused of repeating â€˜liesâ€™ about Brexit and NHS in new year message
Independent,"â€˜This is a threatâ€™: Iran will pay heavy price for damage at US embassy in Baghdad, Trump says in furious New Year tweet"
Independent,UK weather: Met Office records hottest ever December day amid climate crisis
Independent,"New Yearâ€™s Eve 2019 â€“ live: Revellers descend on London to welcome new decade, as Sydney fireworks display prompts fury"
Independent,The Homeless Fund: Big Issue seller thanks Londoners for their kindness in moving New Yearâ€™s Message
Independent,Over the next two years the EU will decide its future path â€“ here's why the UK has to be involved despite Brexit
Independent,Amanda review: A sensitive but short-sighted portrait of life after a terror attack
Independent,"VAR, financial imbalance and a game bigger than before: Football in 2019 has never been better yet never been worse"
Independent,Robert Mugabeâ€™s downfall has left deep fractures in the society of Zimbabwe
Independent,"19 films to look out for in 2020, from horror film Antebellum to Marvelâ€™s The Eternals"
Independent,Transfer news LIVE: Man Utd to spoil Arsenal and Tottenham plans as Liverpool eye Â£54m wonderkid
Independent,How Will Smithâ€™s box office woes reflect a Hollywood in crisis
Independent,"Female doctors earn Â£40,000 less than male colleagues due to â€˜two-tierâ€™ GP pay gap"
Independent,"Album reviews: Georgia â€“ Seeking Thrills, and The Big Moon â€“ Walking Like We Do"
Independent,"Pentagon confident Iran 'accidently shot down Ukraine jet', US media reports say"
Independent,Australia is being burned alive by the climate crisis â€“ so why is it still promoting fossil fuels?
Independent,The biggest obstacle to effective climate policy is not politics or denialists â€“ itâ€™s human arrogance
Independent,The weird phenomenon of Death in Paradise
Independent,Uncut Gems review: The best performance of Adam Sandlerâ€™s career
Independent,20 pledges for 2020: Why Iâ€™m promising to end all my food waste
Independent,Sinn Fein backs powersharing deal which returns Northern Ireland government
Independent,Why this Alabama-based 'proud American Muslim' likes the sound of Buttigieg or Yang for president
Independent,"Teacher who told pupil she had â€˜enormous breastsâ€™, tapped her bottom, kissed her neck and remarked on her short skirt and 'magic fingers' was not sexually motivated, tribunal rules"
Independent,Ukraine 'granted access' to Iran plane crash black box
Independent,"Trump news â€“ live: President suffers legal blow over sex assault accuser, before criticising Obama for playing golf during wild rally speech"
Independent,Jose Mourinhoâ€™s masterplan and a seismic slip â€“ the inside story of Premier Leagueâ€™s most infamous match
Independent,Ncuti Gatwa: 'I've almost been beaten up for saying I'm Scottish'
Independent,â€˜Weâ€™ve lost everythingâ€™: Australians fleeing apocalyptic wildfires fear for their homes
Independent,Why elder statesmen such as Terry Gilliam need to grow up â€“ not just grow old
Independent,Iran admits it shot down Ukraine passenger jet by accident
Independent,UK is nearly ready to launch force to hit hostile countries with cyberattacks
Independent,Isnâ€™t it about time the anti-LGBT+ rhetoric was shown the red card?
Independent,Trump slurs in rally speech after boasting about assassination of Iran commander then complaining about not winning Nobel Peace Prize
Independent,Why Lisa Nandy should be Labourâ€™s next leader
Independent,The insurgent raising an army to fight for the soul of the Democratic Party
Independent,Hundreds of allegations of abuse against child prisoners are revealed as serious restraint incidents triple
Independent,â€˜Confusedâ€™ Trump mocked after claiming he should have won Nobel Peace Prize for 'savingâ€™ Ethiopia
Independent,â€˜Shame on youâ€™: Anger in Iran and calls for international investigation after Tehran admits it accidentally shot down plane
Independent,"Labour needs leader who can connect with ordinary people or risk losing more seats to Boris Johnson, Jess Phillips warns"
Independent,Is Keir Starmer a ruthless opportunist or Ed Miliband Mark II?
Independent,Liverpool may not want to talk about title glory yet â€“ but the script has already been written
Independent,Dominic Cummings calls for 'weirdos and misfits' to apply for Downing Street jobs
Independent,"Australia fires emergency must be tackled urgently, world leaders warn as country braces for worse to come"
Independent,Duffield stabbings: Man charged with double murder as couple named
Independent,Homeless Fund: Ten exclusive places in London Marathon on offer in our charity appeal
Independent,20 pledges for 2020: Iâ€™m going vegan for the year and beyond â€“ but not just for the environmental benefits
Independent,Jodie Whittaker is back to fight Lenny Henryâ€™s devilish new Bond villain in Doctor Who: Spyfall - review
Independent,Rail fares rise despite strikes and widespread cancellations for long-suffering commuters
Independent,Dracula review: Passion project from Sherlock creators Steven Moffat and Mark Gatiss adds fresh wit and energy to the vampire legend
Independent,Manchester attack victimâ€™s mother in crusade to stop children being radicalised by terrorists
Independent,Want to cook at home in New York? Think again
Independent,Layla Moran: Potential Lib Dem leadership candidate becomes first MP to come out as pansexual
Independent,"Boris Johnsonâ€™s promise of 20,000 officers isnâ€™t enough to solve crime problems, says Britainâ€™s most senior police chief"
Independent,FA Cup third round results: Brighton and Aston Villa dumped out as Watford let big lead slip
Independent,"Rewilding the UK: movement aims to tackle climate change â€“ by reintroducing bears, wolves and eagles into Britain"
Independent,"Nato suspends Isis operations in Iraq, as Iran vows revenge on Trump after killing of top commander"
