source,author,headline,summary,URL,publication date
ABC News,Lucien Bruggeman Ali Dukakis and Soo Rin Kim,Trump ally Roger Stone sentenced to 40 months in prison,"Roger Stone, the longtime friend and former campaign adviser to President Donald Trump, is was sentenced to 40 months in prison Thursday at federal court in Washington amid speculation that Trump could potentially pardon him.
",https://abcnews.go.com/Politics/trump-ally-roger-stone-sentenced-40-months-prison/story?id=69098908,2/20/2020
ABC News,Briana Stewart,Some black voters consider other front-runners as Biden looks to South Carolina,"Presidential candidate and former vice president Joe Biden is leaning into his base of black voters more than ever. Results from the New Hampshire primary were barely rolling in when Biden chartered a last-minute flight to meet with his supporters at a campaign event in South Carolina, a state where two-thirds of the Democratic electorate is African-American. His warm reception appeared to remove the sting of his fifth-place showing in the Granite State.",https://abcnews.go.com/Politics/black-voters-front-runners-biden-south-carolina/story?id=68997296,2/20/2020
ABC News,Morgan Winsor,2 cruise ship passengers in Japan die from novel coronavirus,"Two passengers from a cruise ship quarantined in Japanese waters have died from the novel coronavirus, officials said.  It's the first deaths to occur out of the hundreds of confirmed cases from the Diamond Princess cruise ship.  The deceased patients -- a man and a woman -- were in their 80s and were residents of Japan. Both were taken ashore for treatment last week after having prolonged fevers, and they ultimately tested positive for the newly identified virus, known officially as COVID-19. They both died Thursday, according to Japan's Ministry of Health, Labor and Welfare, which is leading and coordinating the public health response on board the cruise ship.
",https://abcnews.go.com/International/cruise-ship-passengers-japan-die-coronavirus/story?id=69094295,2/20/2020
ABC News,Morgan Winsor,Tennessee authorities issue Amber Alert for 15-month-old girl last seen in December,"A desperate search is underway in Tennessee for a 15-month-old girl who authorities say was last seen in December.  Evelyn Mae Boswell, of Sullivan County, was entered as a missing child on Tuesday, but she was reportedly last seen on Dec. 26, according to the Tennessee Bureau of Investigation.  Investigators with the Sullivan County Sheriff’s Office and the Tennessee Department of Children’s Services immediately launched an investigation, with assistance from the Tennessee Bureau of Investigation and the Federal Bureau of Investigation. A statewide Amber Alert has been issued for the little girl.",https://abcnews.go.com/US/tennessee-authorities-issue-amber-alert-15-month-girl/story?id=69095501,2/20/2020
ABC News,Emily Shapiro,2nd firefighter found dead in powerful California library fire allegedly started by 13-year-olds,"A second firefighter was found dead in a powerful arson blaze that ripped through a California library, officials said overnight.  The fire -- allegedly started by two 13-year-old boys -- erupted Tuesday at the city library in Porterville, about 80 miles southeast of Fresno, authorities said. The fire caused the ceiling to collapse into the building, officials said.",https://abcnews.go.com/US/13-year-olds-started-blaze-killed-firefighter-left/story?id=69068997,2/20/2020
ABC News,Aaron Katersky,Staten Island man expected to plead guilty in NCAA fixing scheme,"A Staten Island man is set to plead guilty Thursday to charges he tried to bribe college basketball players to fix games, his attorney said.  Federal prosecutors said that Benjamin Bifalco concocted a ""scheme to fix an NCAA college basketball game."" Investigators learned of the alleged crime in December 2018 as part of an organized crime investigation. Bifalco, 25, allegedly has purported ties to the Colombo crime family and was caught on an FBI wiretap telling a family capo about a plan to pay thousands of dollars to players of an unnamed team, according to his indictment. ",https://abcnews.go.com/Sports/staten-island-man-expected-plead-guilty-ncaa-fixing/story?id=69100762,2/20/2020
ABC News,Sarah Hucal Julia Jacobo William Mansell and Bill Hutchinson,"Right-wing extremism suspected in Germany shooting that left 11 dead, including suspect",,https://abcnews.go.com/International/dead-shooting-german-city-hanau/story?id=69082981,2/20/2020
ABC News,The Associated Press,Teenager charged in slaying of Maryland police officer's son,"Maryland authorities have charged a 17-year-old suspect with fatally shooting the teenage son of a Washington, D.C., area-police officer during adrug-related encounter.  The Charles County Sheriff's Office charged Darryl Edward Freeman as an adult on first-degree murder and other related charges in the slaying of Bradley Alan Brown, 17, the office said in a statement Wednesday. Brown was found shot to death in the driveway of a home Tuesday night, Diane Richardson, a spokeswoman for the Charles County Sheriff’s Office, told news outlets. He was the son of a Prince George's County officer, a spokeswoman for that department confirmed. The officer's name wasn't released.",https://abcnews.go.com/US/wireStory/teenager-charged-slaying-maryland-police-officers-son-69100834,2/20/2020
ABC News,The Associated Press,Authorities: Virginia farmer holds goat thief at gunpoint,"Virginia man held a suspect who was trying to steal goats from his farm at gunpoint until authorities could arrive to make an arrest, authorities said.  Stafford County deputies responded to a call Friday night from the property owner, who said he was holding a thief in the middle of a field on his land, Stafford County Sheriff’s spokeswoman Amanda Vicinanzo said. The farmer told deputies his wife had gone outside to check on their goats and discovered they'd been let out of their pen.",https://abcnews.go.com/Weird/wireStory/authorities-virginia-farmer-holds-goat-thief-gunpoint-69098854,2/20/2020
ABC News,The Associated Press,Police find secret cigarette factory 4 meters underground,"Police have dismantled what they say is the Europe Union’s first clandestine underground cigarette factory, four meters (13 feet) under a horse stable in southern Spain",https://abcnews.go.com/Weird/wireStory/police-find-secret-cigarette-factory-meters-underground-69097132,2/20/2020
